iter	Passed	Remaining
477	660	720
478	661	719
479	662	717
480	663	715
481	664	713
482	665	712
483	666	710
484	667	709
485	668	707
486	669	705
487	670	703
488	671	702
489	673	700
490	674	699
491	675	697
492	677	696
493	678	694
494	679	693
495	680	691
496	681	689
497	682	688
498	683	686
499	684	684
500	685	683
501	686	681
502	687	679
503	689	678
504	689	676
505	691	674
506	692	672
507	693	671
508	694	669
509	695	668
510	696	666
511	697	664
512	698	663
513	699	661
514	700	659
515	701	658
516	702	656
517	703	654
518	704	653
519	705	651
520	706	649
521	707	648
522	708	646
523	709	644
524	711	643
525	712	641
526	713	640
527	714	638
528	715	636
529	716	635
530	717	633
531	718	631
532	719	630
533	720	628
534	721	626
535	722	625
536	723	623
537	724	622
538	725	620
539	726	618
540	727	617
541	728	615
542	729	614
543	730	612
544	731	610
545	732	609
546	733	607
547	734	606
548	735	604
549	736	602
550	737	601
551	738	599
552	740	598
553	741	596
554	742	595
555	743	593
556	744	591
557	745	590
558	746	588
559	747	587
560	748	585
561	749	583
562	750	582
563	751	580
564	752	579
565	753	577
566	754	576
567	755	574
568	756	573
569	757	571
570	758	569
571	759	568
572	760	566
573	761	565
574	762	563
575	763	562
576	764	560
577	765	559
578	766	557
579	768	556
580	769	554
581	770	553
582	771	551
583	772	550
584	773	548
585	774	547
586	775	545
587	776	544
588	778	542
589	779	541
590	780	539
591	781	538
592	782	537
593	783	535
594	784	534
595	785	532
596	787	531
597	788	529
598	789	528
599	790	526
600	791	525
601	792	524
602	793	522
603	795	521
604	796	519
605	797	518
606	798	517
607	799	515
608	800	514
609	802	512
610	803	511
611	804	509
612	805	508
613	806	507
614	807	505
615	809	504
616	810	503
617	812	501
618	813	500
619	814	499
620	815	497
621	816	496
622	817	494
623	819	493
624	820	492
625	821	490
626	823	490
627	825	488
628	826	487
629	828	486
630	829	484
631	830	483
632	831	482
633	832	480
634	833	479
635	834	477
636	836	476
637	837	475
638	839	474
639	840	472
640	841	471
641	843	470
642	844	469
643	846	467
644	847	466
645	848	465
646	849	463
647	851	462
648	852	461
649	853	459
650	855	458
651	856	457
652	857	455
653	858	454
654	859	452
655	860	451
656	861	449
657	863	448
658	864	447
659	865	445
660	866	444
661	867	443
662	868	441
663	869	440
664	871	438
665	872	437
666	873	436
667	874	434
668	875	433
669	876	431
670	877	430
671	878	428
672	879	427
673	880	426
674	881	424
675	882	423
676	884	421
677	885	420
678	886	418
679	887	417
680	888	416
681	889	414
682	890	413
683	892	412
684	893	410
685	894	409
686	895	408
687	896	406
688	897	405
689	899	403
690	900	402
691	901	401
692	902	399
693	903	398
694	904	396
695	905	395
696	906	394
697	907	392
698	909	391
699	910	390
700	911	388
701	912	387
702	913	385
703	914	384
704	915	383
705	916	381
706	917	380
707	918	378
708	919	377
709	920	376
710	922	374
711	923	373
712	924	372
713	925	370
714	926	369
715	927	367
716	928	366
717	929	365
718	930	363
719	931	362
720	932	360
721	933	359
722	934	358
723	935	356
724	936	355
725	938	354
726	939	352
727	940	351
728	941	349
729	942	348
730	943	347
731	944	345
732	945	344
733	946	342
734	947	341
735	948	340
736	949	338
737	950	337
738	951	336
739	952	334
740	953	333
741	954	331
742	955	330
743	956	329
744	957	327
745	958	326
746	959	324
747	960	323
748	961	322
749	962	320
750	963	319
751	964	318
752	965	316
753	966	315
754	967	314
755	968	312
756	969	311
757	971	310
758	972	308
759	973	307
760	974	305
761	975	304
762	976	303
763	977	301
764	978	300
765	979	299
766	980	297
767	981	296
768	982	295
769	983	293
770	984	292
771	985	291
772	987	289
773	988	288
774	989	287
775	990	285
776	991	284
777	992	283
778	993	281
779	994	280
780	995	279
781	996	277
782	997	276
783	998	275
784	999	273
785	1000	272
786	1001	271
787	1002	269
788	1003	268
789	1004	267
790	1005	265
791	1006	264
792	1007	263
793	1008	261
794	1009	260
795	1010	259
796	1012	257
797	1013	256
798	1014	255
799	1015	253
800	1016	252
801	1017	251
802	1018	249
803	1019	248
804	1020	247
805	1021	245
806	1022	244
807	1024	243
808	1025	242
809	1026	240
810	1027	239
811	1028	238
812	1029	236
813	1030	235
814	1031	234
815	1032	232
816	1033	231
817	1034	230
818	1035	228
819	1036	227
820	1037	226
821	1038	224
822	1039	223
823	1040	222
824	1041	221
825	1043	219
826	1044	218
827	1045	217
828	1046	215
829	1047	214
830	1048	213
831	1049	211
832	1051	210
833	1052	209
834	1053	208
835	1055	206
836	1056	205
837	1057	204
838	1059	203
839	1060	201
840	1061	200
841	1062	199
842	1063	198
843	1064	196
844	1065	195
845	1066	194
846	1067	192
847	1068	191
848	1069	190
849	1070	188
850	1071	187
851	1072	186
852	1073	185
853	1074	183
854	1075	182
855	1076	181
856	1077	179
857	1078	178
858	1079	177
859	1080	175
860	1081	174
861	1082	173
862	1083	172
863	1084	170
864	1085	169
865	1086	168
866	1087	166
867	1088	165
868	1089	164
869	1090	163
870	1092	161
871	1093	160
872	1094	159
873	1095	157
874	1096	156
875	1097	155
876	1098	154
877	1099	152
878	1100	151
879	1101	150
880	1102	148
881	1103	147
882	1104	146
883	1105	145
884	1106	143
885	1107	142
886	1108	141
887	1109	139
888	1111	138
889	1112	137
890	1113	136
891	1114	134
892	1115	133
893	1116	132
894	1117	131
895	1118	129
896	1119	128
897	1120	127
898	1121	126
899	1122	124
900	1123	123
901	1124	122
902	1125	120
903	1126	119
904	1127	118
905	1128	117
906	1129	115
907	1130	114
908	1131	113
909	1132	112
910	1133	110
911	1135	109
912	1136	108
913	1137	107
914	1138	105
915	1139	104
916	1140	103
917	1141	101
918	1142	100
919	1143	99
920	1144	98
921	1145	96
922	1146	95
923	1147	94
924	1148	93
925	1149	91
926	1151	90
927	1152	89
928	1153	88
929	1154	86
930	1155	85
931	1156	84
932	1157	83
933	1158	81
934	1159	80
935	1160	79
936	1161	78
937	1162	76
938	1163	75
939	1164	74
940	1165	73
941	1166	71
942	1167	70
943	1168	69
944	1169	68
945	1170	66
946	1171	65
947	1172	64
948	1173	63
949	1174	61
950	1176	60
951	1177	59
952	1178	58
953	1179	56
954	1181	55
955	1182	54
956	1183	53
957	1184	51
958	1185	50
959	1186	49
960	1187	48
961	1188	46
962	1189	45
963	1191	44
964	1192	43
965	1193	41
966	1194	40
967	1195	39
968	1196	38
969	1197	37
970	1198	35
971	1199	34
972	1200	33
973	1201	32
974	1203	30
975	1204	29
976	1205	28
977	1206	27
978	1207	25
979	1208	24
980	1209	23
981	1210	22
982	1211	20
983	1212	19
984	1214	18
985	1215	17
986	1216	16
987	1217	14
988	1218	13
989	1220	12
990	1221	11
991	1222	9
992	1223	8
993	1224	7
994	1225	6
995	1226	4
996	1228	3
997	1229	2
998	1230	1
999	1231	0
